NODES
  N1 ( 22.00 33.00 87 )
  N2 ( 14.00 19.00 83 )
  N3 ( 69.00 8.00 76 )
  N4 ( 22.00 41.00 81 )
  N5 ( 22.00 42.00 81 )
  N6 ( 61.00 27.00 72 )
  N7 ( 2.00 79.00 82 )
  N8 ( 26.00 54.00 76 )
  N9 ( 69.00 51.00 87 )
  N10 ( 49.00 45.00 98 )
  N11 ( 10.00 65.00 73 )
  N12 ( 17.00 31.00 94 )
  N13 ( 95.00 48.00 73 )
  N14 ( 65.00 16.00 81 )
  N15 ( 38.00 64.00 90 )
  N16 ( 75.00 30.00 94 )
  N17 ( 11.00 26.00 93 )
  N18 ( 0.00 8.00 77 )
  N19 ( 46.00 21.00 78 )
  N20 ( 57.00 38.00 89 )
  N21 ( 58.00 78.00 100 )
  N22 ( 24.00 21.00 73 )
  N23 ( 41.00 3.00 82 )
  N24 ( 55.00 62.00 81 )
  N25 ( 2.00 17.00 94 )
  N26 ( 50.00 87.00 75 )
  N27 ( 70.00 11.00 98 )
  N28 ( 1.00 26.00 73 )
  N29 ( 33.00 85.00 72 )
  N30 ( 48.00 41.00 91 )
  N31 ( 43.00 54.00 86 )
  N32 ( 22.00 3.00 71 )
  N33 ( 10.00 6.00 73 )
  N34 ( 37.00 72.00 79 )
  N35 ( 63.00 66.00 81 )
  N36 ( 26.00 31.00 98 )
  N37 ( 66.00 4.00 94 )
  N38 ( 22.00 39.00 95 )
  N39 ( 10.00 66.00 87 )
  N40 ( 60.00 22.00 88 )
  N41 ( 95.00 76.00 95 )
  N42 ( 2.00 39.00 91 )
  N43 ( 40.00 95.00 97 )
  N44 ( 25.00 35.00 87 )
  N45 ( 66.00 39.00 77 )
  N46 ( 39.00 68.00 92 )
  N47 ( 61.00 50.00 70 )
  N48 ( 34.00 11.00 76 )
  N49 ( 89.00 52.00 73 )
  N50 ( 9.00 67.00 98 )
  N51 ( 21.00 14.00 88 )
  N52 ( 18.00 29.00 75 )
  N53 ( 42.00 39.00 100 )
  N54 ( 89.00 55.00 77 )
  N55 ( 65.00 28.00 88 )
  N56 ( 37.00 99.00 76 )
  N57 ( 50.00 96.00 82 )
  N58 ( 32.00 9.00 82 )
  N59 ( 36.00 61.00 70 )
  N60 ( 95.00 4.00 77 )
  N61 ( 29.00 17.00 99 )
  N62 ( 12.00 100.00 91 )
  N63 ( 22.00 59.00 71 )
  N64 ( 82.00 84.00 74 )
  N65 ( 63.00 52.00 90 )
  N66 ( 97.00 97.00 93 )
  N67 ( 32.00 79.00 91 )
  N68 ( 54.00 61.00 88 )
  N69 ( 7.00 63.00 75 )
  N70 ( 2.00 37.00 70 )
  N71 ( 17.00 41.00 85 )
  N72 ( 82.00 33.00 85 )
  N73 ( 43.00 40.00 82 )
  N74 ( 42.00 71.00 100 )
  N75 ( 88.00 28.00 89 )
  N76 ( 42.00 63.00 96 )
  N77 ( 9.00 46.00 97 )
  N78 ( 19.00 27.00 82 )
  N79 ( 32.00 80.00 76 )
  N80 ( 87.00 50.00 93 )
  N81 ( 40.00 47.00 93 )
  N82 ( 75.00 13.00 91 )
  N83 ( 23.00 71.00 91 )
  N84 ( 15.00 32.00 93 )
  N85 ( 27.00 65.00 82 )
  N86 ( 51.00 89.00 81 )
  N87 ( 13.00 30.00 92 )
  N88 ( 22.00 67.00 88 )
  N89 ( 40.00 43.00 89 )
  N90 ( 89.00 45.00 96 )
  N91 ( 16.00 33.00 98 )
  N92 ( 9.00 89.00 75 )
  N93 ( 56.00 74.00 93 )
  N94 ( 59.00 61.00 90 )
  N95 ( 47.00 14.00 89 )
  N96 ( 100.00 84.00 88 )
  N97 ( 49.00 36.00 83 )
  N98 ( 60.00 77.00 92 )
  N99 ( 0.00 58.00 71 )
  N100 ( 78.00 53.00 82 )
  N101 ( 16.00 33.00 78 )
  N102 ( 4.00 94.00 73 )
  N103 ( 85.00 78.00 72 )
  N104 ( 23.00 75.00 79 )
  N105 ( 34.00 53.00 92 )
  N106 ( 22.00 5.00 82 )
  N107 ( 81.00 80.00 70 )
  N108 ( 11.00 41.00 94 )
  N109 ( 2.00 55.00 86 )
  N110 ( 74.00 95.00 89 )
  N111 ( 98.00 77.00 70 )
  N112 ( 73.00 9.00 81 )
  N113 ( 72.00 87.00 94 )
  N114 ( 14.00 32.00 92 )
  N115 ( 16.00 73.00 89 )
  N116 ( 0.00 56.00 88 )
  N117 ( 11.00 63.00 76 )
  N118 ( 37.00 65.00 82 )
  N119 ( 26.00 5.00 88 )
  N120 ( 37.00 38.00 87 )
  N121 ( 40.00 85.00 74 )
  N122 ( 80.00 91.00 92 )
  N123 ( 85.00 46.00 88 )
  N124 ( 25.00 38.00 97 )
  N125 ( 87.00 55.00 95 )
  N126 ( 96.00 53.00 70 )
  N127 ( 28.00 19.00 71 )
  N128 ( 72.00 79.00 87 )
  N129 ( 2.00 30.00 71 )
  N130 ( 56.00 51.00 91 )
  N131 ( 14.00 44.00 74 )
  N132 ( 14.00 43.00 84 )
  N133 ( 55.00 62.00 86 )
  N134 ( 85.00 18.00 81 )
  N135 ( 66.00 85.00 82 )
  N136 ( 29.00 27.00 94 )
  N137 ( 39.00 78.00 89 )
  N138 ( 46.00 30.00 93 )
  N139 ( 33.00 91.00 98 )
  N140 ( 30.00 31.00 75 )
  N141 ( 66.00 12.00 91 )
  N142 ( 46.00 7.00 74 )
  N143 ( 47.00 59.00 70 )
  N144 ( 20.00 14.00 93 )
  N145 ( 75.00 72.00 77 )
  N146 ( 22.00 18.00 96 )
  N147 ( 20.00 44.00 71 )
  N148 ( 43.00 27.00 79 )
  N149 ( 53.00 48.00 90 )
  N150 ( 23.00 63.00 95 )
  N151 ( 93.00 98.00 90 )
  N152 ( 42.00 20.00 94 )
  N153 ( 88.00 98.00 77 )
  N154 ( 55.00 94.00 88 )
  N155 ( 42.00 20.00 73 )
  N156 ( 14.00 49.00 98 )
  N157 ( 69.00 79.00 94 )
  N158 ( 58.00 81.00 86 )
  N159 ( 62.00 85.00 82 )
  N160 ( 42.00 79.00 75 )
  N161 ( 37.00 85.00 95 )
  N162 ( 82.00 48.00 92 )
  N163 ( 38.00 64.00 78 )
  N164 ( 15.00 38.00 72 )
  N165 ( 8.00 78.00 77 )
  N166 ( 19.00 44.00 87 )
  N167 ( 28.00 73.00 93 )
  N168 ( 43.00 3.00 73 )
  N169 ( 96.00 8.00 87 )
  N170 ( 95.00 39.00 81 )
  N171 ( 100.00 18.00 70 )
  N172 ( 88.00 18.00 88 )
  N173 ( 20.00 51.00 94 )
  N174 ( 78.00 78.00 78 )
  N175 ( 95.00 74.00 78 )
  N176 ( 44.00 51.00 81 )
  N177 ( 9.00 47.00 88 )
  N178 ( 62.00 52.00 82 )
  N179 ( 27.00 73.00 76 )
  N180 ( 82.00 56.00 75 )
  N181 ( 25.00 31.00 76 )
  N182 ( 31.00 99.00 86 )
  N183 ( 5.00 84.00 99 )
  N184 ( 73.00 4.00 78 )
  N185 ( 7.00 13.00 86 )
  N186 ( 63.00 89.00 92 )
  N187 ( 41.00 9.00 71 )
  N188 ( 91.00 48.00 81 )
  N189 ( 12.00 18.00 89 )
  N190 ( 30.00 48.00 74 )
  N191 ( 78.00 81.00 91 )
  N192 ( 58.00 66.00 78 )
  N193 ( 47.00 68.00 72 )
  N194 ( 58.00 98.00 74 )
  N195 ( 94.00 100.00 76 )
  N196 ( 17.00 5.00 97 )
  N197 ( 65.00 63.00 88 )
  N198 ( 46.00 7.00 81 )
  N199 ( 92.00 18.00 74 )
  N200 ( 45.00 43.00 95 )

LINKS
  L1 ( N1 N2 16 )
  L2 ( N1 N10 29 )
  L3 ( N1 N15 34 )
  L4 ( N1 N16 53 )
  L5 ( N1 N17 13 )
  L6 ( N1 N24 43 )
  L7 ( N1 N27 52 )
  L8 ( N1 N30 27 )
  L9 ( N1 N31 29 )
  L10 ( N1 N32 30 )
  L11 ( N1 N35 52 )
  L12 ( N1 N37 52 )
  L13 ( N1 N39 35 )
  L14 ( N1 N40 39 )
  L15 ( N1 N42 20 )
  L16 ( N1 N43 64 )
  L17 ( N1 N48 25 )
  L18 ( N1 N49 69 )
  L19 ( N1 N53 20 )
  L20 ( N1 N55 43 )
  L21 ( N1 N56 67 )
  L22 ( N1 N58 26 )
  L23 ( N1 N67 47 )
  L24 ( N1 N69 33 )
  L25 ( N1 N70 20 )
  L26 ( N1 N73 22 )
  L27 ( N1 N75 66 )
  L28 ( N1 N76 36 )
  L29 ( N1 N85 32 )
  L30 ( N1 N87 9 )
  L31 ( N1 N88 34 )
  L32 ( N1 N90 68 )
  L33 ( N1 N97 27 )
  L34 ( N1 N104 42 )
  L35 ( N1 N105 23 )
  L36 ( N1 N107 75 )
  L37 ( N1 N110 80 )
  L38 ( N1 N113 73 )
  L39 ( N1 N115 40 )
  L40 ( N1 N119 28 )
  L41 ( N1 N127 15 )
  L42 ( N1 N130 38 )
  L43 ( N1 N142 35 )
  L44 ( N1 N145 65 )
  L45 ( N1 N150 30 )
  L46 ( N1 N158 60 )
  L47 ( N1 N164 8 )
  L48 ( N1 N168 36 )
  L49 ( N1 N172 67 )
  L50 ( N1 N173 18 )
  L51 ( N1 N177 19 )
  L52 ( N1 N180 64 )
  L53 ( N1 N181 3 )
  L54 ( N1 N182 66 )
  L55 ( N1 N184 58 )
  L56 ( N1 N190 17 )
  L57 ( N1 N191 73 )
  L58 ( N1 N194 74 )
  L59 ( N1 N198 35 )
  L60 ( N2 N4 23 )
  L61 ( N2 N5 24 )
  L62 ( N2 N6 47 )
  L63 ( N2 N7 61 )
  L64 ( N2 N9 63 )
  L65 ( N2 N12 12 )
  L66 ( N2 N16 61 )
  L67 ( N2 N21 73 )
  L68 ( N2 N22 10 )
  L69 ( N2 N24 59 )
  L70 ( N2 N28 14 )
  L71 ( N2 N30 40 )
  L72 ( N2 N36 16 )
  L73 ( N2 N42 23 )
  L74 ( N2 N43 80 )
  L75 ( N2 N53 34 )
  L76 ( N2 N55 51 )
  L77 ( N2 N57 85 )
  L78 ( N2 N61 15 )
  L79 ( N2 N65 59 )
  L80 ( N2 N66 113 )
  L81 ( N2 N71 22 )
  L82 ( N2 N73 35 )
  L83 ( N2 N81 38 )
  L84 ( N2 N83 52 )
  L85 ( N2 N85 47 )
  L86 ( N2 N97 38 )
  L87 ( N2 N99 41 )
  L88 ( N2 N101 14 )
  L89 ( N2 N102 75 )
  L90 ( N2 N105 39 )
  L91 ( N2 N108 22 )
  L92 ( N2 N109 37 )
  L93 ( N2 N113 89 )
  L94 ( N2 N115 54 )
  L95 ( N2 N118 51 )
  L96 ( N2 N120 29 )
  L97 ( N2 N122 97 )
  L98 ( N2 N124 21 )
  L99 ( N2 N127 14 )
  L100 ( N2 N129 16 )
  L101 ( N2 N130 52 )
  L102 ( N2 N132 24 )
  L103 ( N2 N136 17 )
  L104 ( N2 N137 64 )
  L105 ( N2 N138 33 )
  L106 ( N2 N139 74 )
  L107 ( N2 N151 111 )
  L108 ( N2 N152 28 )
  L109 ( N2 N158 76 )
  L110 ( N2 N166 25 )
  L111 ( N2 N171 86 )
  L112 ( N2 N174 87 )
  L113 ( N2 N179 55 )
